Time (s),no_pump,pump_1552.4385nm,no_pump,pump_1551nm,pump_1556nm
0.0,0.08477332,0.08609333,0.09373999,0.08554,0.09937999
5e-07,0.08504,0.08647999,0.09305333,0.08505332,0.09919333
1e-06,0.08427333,0.08653333,0.09385999,0.08502666,0.09990666
1.5e-06,0.08494666,0.08567332,0.09306666,0.08579332,0.09917999
2e-06,0.08425999,0.08567332,0.09385999,0.08575333,0.09994666
2.4999999999999998e-06,0.08494666,0.08644,0.09304,0.08510666,0.09921999
3e-06,0.08497333,0.08646666,0.09306666,0.08575333,0.09986666
3.5e-06,0.08428666,0.08572666,0.09385999,0.08504,0.09920666
4e-06,0.08425999,0.08572666,0.09387333,0.08511999,0.09991999
4.5e-06,0.08495999,0.08644,0.09305333,0.08573999,0.09915332
4.9999999999999996e-06,0.08493333,0.08571333,0.09383333,0.08506666,0.09915332
5.5e-06,0.08421999,0.08644,0.09301332,0.08579332,0.09989332
6e-06,0.08416666,0.08561999,0.09298666,0.08577999,0.09912666
6.5e-06,0.08498666,0.08642666,0.09388666,0.08502666,0.09993333
7e-06,0.08494666,0.08567332,0.09384666,0.08506666,0.09917999
7.499999999999999e-06,0.08421999,0.08644,0.09295999,0.08576666,0.09985333
8e-06,0.08423333,0.08646666,0.09381999,0.08510666,0.09912666
8.5e-06,0.08492,0.08564666,0.09301332,0.08575333,0.09986666
9e-06,0.08492,0.08567332,0.09304,0.08573999,0.09917999
9.499999999999999e-06,0.08420666,0.08649333,0.0939,0.08509333,0.09991999
9.999999999999999e-06,0.08490666,0.08639999,0.09306666,0.08573999,0.09920666
1.05e-05,0.08420666,0.08569999,0.09388666,0.08511999,0.09990666
1.1e-05,0.08487999,0.08564666,0.09307999,0.08579332,0.09923333
1.15e-05,0.08414,0.08644,0.0939,0.08499999,0.09998666
1.2e-05,0.08418,0.08645333,0.09388666,0.08575333,0.1000133
1.2499999999999999e-05,0.08492,0.08564666,0.09307999,0.08505332,0.09927332
1.3e-05,0.08419333,0.08568666,0.09306666,0.08580666,0.09998666
1.35e-05,0.08489333,0.08649333,0.09387333,0.08510666,0.09924666
1.4e-05,0.08487999,0.08644,0.09310666,0.08513333,0.09928666
1.45e-05,0.08421999,0.08572666,0.09391332,0.08579332,0.09998666
1.4999999999999999e-05,0.08489333,0.08568666,0.09392666,0.08583333,0.1000133
1.55e-05,0.08418,0.08642666,0.09307999,0.08501333,0.09927332
1.6e-05,0.08419333,0.08568666,0.09306666,0.08579332,0.09923333
1.6499999999999998e-05,0.08483999,0.08647999,0.09387333,0.08513333,0.1000267
1.7e-05,0.08418,0.08642666,0.0939,0.08510666,0.09993333
1.75e-05,0.08493333,0.08569999,0.09309333,0.08585999,0.09927332
1.8e-05,0.08415332,0.08571333,0.09388666,0.08511999,0.09990666
1.85e-05,0.08489333,0.08646666,0.09309333,0.08580666,0.09927332
1.8999999999999998e-05,0.08492,0.08642666,0.09306666,0.08522666,0.09924666
1.95e-05,0.08411333,0.08566,0.09387333,0.08583333,0.09991999
1.9999999999999998e-05,0.08483999,0.08568666,0.09385999,0.08514666,0.09920666
2.05e-05,0.08407333,0.08644,0.09306666,0.08585999,0.09994666
2.1e-05,0.08483999,0.08569999,0.09301332,0.08580666,0.09924666
2.1499999999999997e-05,0.08414,0.08641332,0.0939,0.08517332,0.09990666
2.2e-05,0.08411333,0.08566,0.09311999,0.08518666,0.09920666
2.2499999999999998e-05,0.08482666,0.08642666,0.09392666,0.08582,0.09998666
2.3e-05,0.08483999,0.08571333,0.09314666,0.08517332,0.09927332
2.35e-05,0.08409999,0.08644,0.09387333,0.08582,0.1000133
2.4e-05,0.08482666,0.08649333,0.09310666,0.08517332,0.09929999
2.45e-05,0.08412666,0.08572666,0.09392666,0.08589999,0.10004
2.4999999999999998e-05,0.08415332,0.08569999,0.09314666,0.08523999,0.09932666
2.55e-05,0.08485333,0.08650666,0.09392666,0.08588666,0.10008
2.6e-05,0.08409999,0.08571333,0.09397999,0.08522666,0.09937999
2.65e-05,0.08485333,0.08647999,0.09316,0.08589999,0.1000933
2.7e-05,0.08411333,0.08567332,0.09318666,0.08584666,0.1001733
2.7499999999999998e-05,0.08481333,0.08649333,0.09396666,0.08523999,0.09942
2.8e-05,0.08478666,0.08569999,0.09395333,0.08525333,0.10012
2.8499999999999998e-05,0.08407333,0.08644,0.09314666,0.08585999,0.09931333
2.9e-05,0.08477332,0.08571333,0.09395333,0.08587333,0.10012
2.95e-05,0.08412666,0.08656,0.09317333,0.08522666,0.09944666
2.9999999999999997e-05,0.08477332,0.08573999,0.09313333,0.0852,0.09947333
3.05e-05,0.08408666,0.08650666,0.09396666,0.08587333,0.1001733
3.1e-05,0.08476,0.08651999,0.09317333,0.08588666,0.1001467
3.15e-05,0.08407333,0.08573999,0.09401999,0.08522666,0.09943333
3.2e-05,0.08408666,0.08572666,0.09401999,0.08521333,0.10012
3.25e-05,0.08481333,0.08650666,0.09311999,0.08592666,0.09944666
3.2999999999999996e-05,0.08476,0.08647999,0.09392666,0.08521333,0.09939332
3.35e-05,0.08407333,0.08571333,0.09311999,0.08588666,0.10016
3.4e-05,0.08409999,0.08573999,0.09309333,0.08592666,0.1001467
3.45e-05,0.08474666,0.08653333,0.09400666,0.08518666,0.09940666
3.5e-05,0.08478666,0.08653333,0.09311999,0.08522666,0.1002267
3.5499999999999996e-05,0.08409999,0.08577999,0.09393999,0.08595333,0.09940666
3.6e-05,0.08478666,0.08653333,0.09399333,0.08592666,0.09951333
3.65e-05,0.08405999,0.08576666,0.09314666,0.08526666,0.1002533
3.7e-05,0.08404666,0.08658666,0.09313333,0.08589999,0.10024
3.75e-05,0.08476,0.08577999,0.09397999,0.08526666,0.09948666
3.7999999999999995e-05,0.08404666,0.08579332,0.09317333,0.08527999,0.09951333
3.85e-05,0.08481333,0.08656,0.09396666,0.08594,0.10032
3.9e-05,0.08476,0.08571333,0.09311999,0.08595333,0.09956666
3.95e-05,0.08400666,0.08656,0.09396666,0.08529333,0.10032
3.9999999999999996e-05,0.08404666,0.08584666,0.09395333,0.08532666,0.09957999
4.0499999999999995e-05,0.08476,0.08656,0.09318666,0.08597999,0.1004
4.1e-05,0.08478666,0.08657333,0.09396666,0.08597999,0.10036
4.15e-05,0.08409999,0.08583333,0.09317333,0.08529333,0.09963333
4.2e-05,0.08408666,0.08659999,0.09310666,0.08532666,0.1004
4.2499999999999996e-05,0.08473333,0.08582,0.09403332,0.08606666,0.09965999
4.2999999999999995e-05,0.08478666,0.08580666,0.09397999,0.086,0.1003733
4.35e-05,0.08403333,0.08659999,0.09317333,0.08538,0.0997
4.4e-05,0.08476,0.08661333,0.09396666,0.08542,0.09960666
4.45e-05,0.08404666,0.08585999,0.09313333,0.08601332,0.1003733
4.4999999999999996e-05,0.08476,0.08659999,0.09393999,0.08607999,0.09963333
4.5499999999999995e-05,0.08404666,0.08588666,0.09311999,0.08539332,0.1003733
4.6e-05,0.0848,0.08577999,0.09313333,0.08610666,0.1003867
4.65e-05,0.08399333,0.08662666,0.09396666,0.08545999,0.09965999
4.7e-05,0.08407333,0.08584666,0.09311999,0.08544666,0.09963333
4.7499999999999996e-05,0.08476,0.08666666,0.0939,0.08619999,0.1003333
