Time (s),Voltage (V)
0.0,0.7233866
0.002,0.6311466
0.004,0.7733066
0.006,0.69392
0.008,0.6439999
0.01,0.7842399
0.012,0.6596799
0.014,0.7699733
0.016,0.7699733
0.018000000000000002,0.6230666
0.02,0.6145066
0.022,0.7618933
0.024,0.7428799
0.026000000000000002,0.6092799
0.028,0.6368533
0.03,0.7485866
0.032,0.6278133
0.034,0.73528
0.036000000000000004,0.6596799
0.038,0.7466666
0.04,0.7400266
0.042,0.6178399
0.044,0.60976
0.046,0.7514399
0.048,0.7514399
0.05,0.6130933
0.052000000000000005,0.6083466
0.054,0.7547733
0.056,0.7509599
0.058,0.60976
0.06,0.7614133
0.062,0.6140266
0.064,0.7533333
0.066,0.6087999
0.068,0.7171999
0.07,0.6135733
0.07200000000000001,0.7566666
0.074,0.6240266
0.076,0.6121333
0.078,0.7053066
0.08,0.6202133
0.082,0.7657066
0.084,0.6159467
0.08600000000000001,0.7366933
0.088,0.7609333
0.09,0.6254399
0.092,0.7390666
0.094,0.6149866
0.096,0.7680799
0.098,0.6406666
0.1,0.6368533
0.10200000000000001,0.7737866
0.10400000000000001,0.6468533
0.106,0.7766399
0.108,0.7595199
0.11,0.6225866
0.112,0.6368533
0.114,0.7842399
0.116,0.7866133
0.11800000000000001,0.6435199
0.12,0.7937333
0.122,0.65064
0.124,0.79136
0.126,0.6606399
0.128,0.6416
0.13,0.7899466
0.132,0.7961333
0.134,0.6406666
0.136,0.6392266
0.138,0.7842399
0.14,0.7780533
0.14200000000000002,0.6568266
0.14400000000000002,0.6625333
0.146,0.80136
0.148,0.8022933
0.15,0.6497066
0.152,0.65872
0.154,0.7965866
0.156,0.8056266
0.158,0.6786933
0.16,0.8237066
0.162,0.66776
0.164,0.8070666
0.166,0.6610933
0.168,0.8246399
0.17,0.65872
0.17200000000000001,0.6734666
0.17400000000000002,0.808
0.176,0.7699733
0.178,0.6520799
0.18,0.6592
0.182,0.80992
0.184,0.7690133
0.186,0.6515999
0.188,0.6539733
0.19,0.7904266
0.192,0.7785333
0.194,0.66728
0.196,0.6991466
0.198,0.7951733
0.2,0.6625333
0.202,0.8037333
0.20400000000000001,0.6768
0.20600000000000002,0.8061066
0.20800000000000002,0.65824
0.21,0.8208533
0.212,0.6634933
0.214,0.7989866
0.216,0.6991466
0.218,0.81656
0.22,0.8384266
0.222,0.6658666
0.224,0.7985066
0.226,0.6568266
0.228,0.7756799
0.23,0.6634933
0.232,0.80136
0.234,0.67536
0.23600000000000002,0.7628533
0.23800000000000002,0.6511199
0.24,0.7761599
0.242,0.6549333
0.244,0.6534933
0.246,0.7637866
0.248,0.7680799
0.25,0.6606399
0.252,0.6544533
0.254,0.7675999
0.256,0.7899466
0.258,0.6549333
0.26,0.80848
0.262,0.6558666
0.264,0.71056
0.266,0.80088
0.268,0.6782133
0.27,0.8027733
0.272,0.6525599
0.274,0.7927999
0.276,0.6596799
0.278,0.8246399
0.28,0.8208533
0.28200000000000003,0.6896266
0.28400000000000003,0.79944
0.28600000000000003,0.6539733
0.28800000000000003,0.6425599
0.29,0.7799466
0.292,0.7770933
0.294,0.6549333
0.296,0.6416
0.298,0.7951733
0.3,0.79944
0.302,0.6420799
0.304,0.65872
0.306,0.7685599
0.308,0.7842399
0.31,0.6558666
0.312,0.6487466
0.314,0.7951733
0.316,0.7989866
0.318,0.6458933
0.32,0.79184
0.322,0.6468533
0.324,0.7985066
0.326,0.6715733
0.328,0.8317866
0.33,0.6534933
0.332,0.66824
0.334,0.7975466
0.336,0.7419199
0.338,0.6492266
0.34,0.6515999
0.342,0.80088
0.34400000000000003,0.7138666
0.34600000000000003,0.6368533
0.34800000000000003,0.6349599
0.35000000000000003,0.7847199
0.352,0.6477866
0.354,0.7233866
0.356,0.6544533
0.358,0.7904266
0.36,0.6515999
0.362,0.8156266
0.364,0.65824
0.366,0.7932799
0.368,0.6615733
0.37,0.8270133
0.372,0.6620533
0.374,0.7894666
0.376,0.6487466
0.378,0.8336799
0.38,0.8246399
0.382,0.6549333
0.384,0.7980266
0.386,0.6573066
0.388,0.8203733
0.39,0.6425599
0.392,0.79184
0.394,0.6430399
0.396,0.7961333
0.398,0.6463733
0.4,0.7804266
0.402,0.6463733
0.404,0.6492266
0.406,0.7309866
0.40800000000000003,0.7851999
0.41000000000000003,0.6534933
0.41200000000000003,0.79136
0.41400000000000003,0.6411466
0.41600000000000004,0.7951733
0.418,0.6592
0.42,0.8132266
0.422,0.6592
0.424,0.7985066
0.426,0.6815466
0.428,0.65016
0.43,0.82656
0.432,0.6497066
0.434,0.7946933
0.436,0.6449333
0.438,0.81656
0.44,0.6896266
0.442,0.8018399
0.444,0.7980266
0.446,0.6558666
0.448,0.6430399
0.45,0.7861333
0.452,0.7951733
0.454,0.6511199
0.456,0.6468533
0.458,0.7714133
0.46,0.7818666
0.462,0.66776
0.464,0.6630133
0.466,0.7842399
0.468,0.6810666
0.47000000000000003,0.81656
0.47200000000000003,0.8137066
0.47400000000000003,0.6653866
0.47600000000000003,0.8151466
0.47800000000000004,0.6710933
0.48,0.8313066
0.482,0.6720266
0.484,0.8146666
0.486,0.6782133
0.488,0.6953333
0.49,0.8303466
0.492,0.6791733
0.494,0.8146666
0.496,0.6772799
0.498,0.8037333
0.5,0.6825066
0.502,0.79944
0.504,0.7171999
0.506,0.6573066
0.508,0.6782133
0.51,0.7704533
0.512,0.7333599
0.514,0.6534933
0.516,0.8042133
0.518,0.6658666
0.52,0.7980266
0.522,0.67488
0.524,0.6729866
0.526,0.8237066
0.528,0.6596799
0.53,0.8308266
0.532,0.68344
0.534,0.81752
0.536,0.6777333
0.538,0.8465066
0.54,0.8507999
0.542,0.68344
0.544,0.6649066
0.546,0.8198933
0.548,0.8465066
0.55,0.6691999
0.552,0.8189332
0.554,0.6701333
0.556,0.7951733
0.558,0.6592
0.56,0.79184
0.562,0.6739466
0.5640000000000001,0.6620533
0.5660000000000001,0.7856533
0.5680000000000001,0.6725066
0.5700000000000001,0.7856533
0.5720000000000001,0.8061066
0.5740000000000001,0.6644266
0.5760000000000001,0.69296
0.578,0.80896
0.58,0.8270133
0.582,0.6563466
0.584,0.6825066
0.586,0.8246399
0.588,0.6653866
0.59,0.8336799
0.592,0.6658666
0.594,0.81752
0.596,0.6796533
0.598,0.83416
0.6,0.8436533
0.602,0.65872
0.604,0.8208533
0.606,0.65016
0.608,0.67536
0.61,0.7894666
0.612,0.7143466
0.614,0.6511199
0.616,0.6487466
0.618,0.7985066
0.62,0.8137066
0.622,0.6639466
0.624,0.6525599
0.626,0.7942133
0.628,0.6739466
0.63,0.8322666
0.632,0.65824
0.634,0.8022933
0.636,0.65824
0.638,0.8289333
0.64,0.8246399
0.642,0.66776
0.644,0.81848
0.646,0.6658666
0.648,0.8251199
0.65,0.6487466
0.652,0.8284533
0.654,0.65824
0.656,0.6530133
0.658,0.818
0.66,0.6630133
0.662,0.8251199
0.664,0.6563466
0.666,0.7842399
0.668,0.7809066
0.67,0.6610933
0.672,0.7809066
0.674,0.6511199
0.676,0.7276533
0.678,0.65016
0.68,0.6525599
0.682,0.8393866
0.684,0.6511199
0.686,0.8156266
0.6880000000000001,0.65824
0.6900000000000001,0.8336799
0.6920000000000001,0.82608
0.6940000000000001,0.6768
0.6960000000000001,0.6715733
0.6980000000000001,0.8365332
0.7000000000000001,0.8379466
0.7020000000000001,0.6706133
0.704,0.8308266
0.706,0.6634933
0.708,0.8198933
0.71,0.6558666
0.712,0.8051466
0.714,0.65064
0.716,0.79944
0.718,0.6720266
0.72,0.7728266
0.722,0.6530133
0.724,0.65064
0.726,0.7509599
0.728,0.6525599
0.73,0.7523733
0.732,0.6416
0.734,0.7714133
0.736,0.6473066
0.738,0.8227466
0.74,0.8374933
0.742,0.6539733
0.744,0.8208533
0.746,0.6606399
0.748,0.8194133
0.75,0.6739466
0.752,0.6473066
0.754,0.8232266
0.756,0.6877333
0.758,0.8313066
0.76,0.8294133
0.762,0.6820266
0.764,0.6497066
0.766,0.8061066
0.768,0.8108533
0.77,0.6701333
0.772,0.7714133
0.774,0.6420799
0.776,0.6368533
0.778,0.7324266
0.78,0.6487466
0.782,0.7985066
0.784,0.6454133
0.786,0.7851999
0.788,0.6549333
0.79,0.8141866
0.792,0.6373333
0.794,0.8037333
0.796,0.6625333
0.798,0.8189332
0.8,0.8284533
0.802,0.6653866
0.804,0.818
0.806,0.6725066
0.808,0.8232266
0.81,0.6706133
0.812,0.80992
0.8140000000000001,0.6373333
0.8160000000000001,0.6553866
0.8180000000000001,0.81656
0.8200000000000001,0.7932799
0.8220000000000001,0.6620533
0.8240000000000001,0.7637866
0.8260000000000001,0.6520799
0.8280000000000001,0.6573066
0.8300000000000001,0.7704533
0.8320000000000001,0.80088
0.834,0.6458933
0.836,0.66776
0.838,0.7823466
0.84,0.8122933
0.842,0.6549333
0.844,0.65016
0.846,0.7842399
0.848,0.6791733
0.85,0.8151466
0.852,0.6606399
0.854,0.818
0.856,0.6615733
0.858,0.8151466
0.86,0.8298666
0.862,0.6739466
0.864,0.8251199
0.866,0.6620533
0.868,0.8279732
0.87,0.6644266
0.872,0.8198933
0.874,0.6663466
0.876,0.8056266
0.878,0.6549333
0.88,0.6549333
0.882,0.78328
0.884,0.7195733
0.886,0.6596799
0.888,0.6534933
0.89,0.8227466
0.892,0.8070666
0.894,0.6601599
0.896,0.6796533
0.898,0.8037333
0.9,0.81752
0.902,0.6744266
0.904,0.8189332
0.906,0.6606399
0.908,0.81752
0.91,0.6805866
0.912,0.6658666
0.914,0.8284533
0.916,0.7129333
0.918,0.81704
0.92,0.8274933
0.922,0.6772799
0.924,0.6658666
0.926,0.8222666
0.928,0.8251199
0.93,0.66776
0.932,0.2626933
0.934,0.8737866
0.936,0.8737866
0.9380000000000001,0.25368
0.9400000000000001,0.8737866
0.9420000000000001,0.2626933
0.9440000000000001,0.8737866
0.9460000000000001,0.25984
0.9480000000000001,0.2584266
0.9500000000000001,0.8737866
0.9520000000000001,0.8737866
0.9540000000000001,0.26128
0.9560000000000001,0.8737866
0.9580000000000001,0.26128
0.96,0.8737866
0.962,0.2579466
0.964,0.8737866
0.966,0.2565333
0.968,0.8737866
0.97,0.2560533
0.972,0.8737866
0.974,0.2579466
0.976,0.2669866
0.978,0.8737866
0.98,0.2574666
0.982,0.8737866
0.984,0.8737866
0.986,0.2626933
0.988,0.8737866
0.99,0.25272
0.992,0.8737866
0.994,0.26176
0.996,0.25416
0.998,0.8737866
1.0,0.8737866
1.002,0.2593867
1.004,0.25416
1.006,0.8737866
