Time (s),Voltage (V)
0.0,0.4418
0.002,0.3734666
0.004,0.3680666
0.006,0.4472
0.008,0.3626
0.01,0.5003333
0.012,0.4710666
0.014,0.3626
0.016,0.3702
0.018000000000000002,0.4689333
0.02,0.483
0.022,0.3658666
0.024,0.4548
0.026000000000000002,0.3713333
0.028,0.4418
0.03,0.3637333
0.032,0.3637333
0.034,0.4786666
0.036000000000000004,0.4472
0.038,0.3680666
0.04,0.3724
0.042,0.4895333
0.044,0.4667333
0.046,0.3637333
0.048,0.3637333
0.05,0.5046666
0.052000000000000005,0.496
0.054,0.3658666
0.056,0.3691333
0.058,0.4938666
0.06,0.5133333
0.062,0.3691333
0.064,0.3658666
0.066,0.4667333
0.068,0.5122666
0.07,0.3713333
0.07200000000000001,0.3713333
0.074,0.457
0.076,0.3745333
0.078,0.4873333
0.08,0.4515333
0.082,0.3680666
0.084,0.4689333
0.08600000000000001,0.3734666
0.088,0.3724
0.09,0.4775999
0.092,0.4938666
0.094,0.3788666
0.096,0.3648
0.098,0.4472
0.1,0.3767333
0.10200000000000001,0.5057999
0.10400000000000001,0.3680666
0.106,0.4807999
0.108,0.3702
0.11,0.5079333
0.112,0.5025333
0.114,0.3713333
0.116,0.3658666
0.11800000000000001,0.5003333
0.12,0.5003333
0.122,0.3658666
0.124,0.3680666
0.126,0.4786666
0.128,0.5122666
0.13,0.3691333
0.132,0.3561333
0.134,0.4656666
0.136,0.3767333
0.138,0.4819333
0.14,0.3637333
0.14200000000000002,0.5068666
0.14400000000000002,0.4927333
0.146,0.3691333
0.148,0.3691333
0.15,0.5101333
0.152,0.5057999
0.154,0.3691333
0.156,0.3691333
0.158,0.4906
0.16,0.5242
0.162,0.3929999
0.164,0.4743333
0.166,0.3680666
0.168,0.3940666
0.17,0.5144666
0.17200000000000001,0.496
0.17400000000000002,0.3626
0.176,0.3832666
0.178,0.5144666
0.18,0.5133333
0.182,0.3615333
0.184,0.3778
0.186,0.4949333
0.188,0.4819333
0.19,0.3734666
0.192,0.3788666
0.194,0.4949333
0.196,0.4775999
0.198,0.3778
0.2,0.3973333
0.202,0.5089999
0.20400000000000001,0.5057999
0.20600000000000002,0.3604666
0.20800000000000002,0.3615333
0.21,0.5155333
0.212,0.5155333
0.214,0.3615333
0.216,0.3637333
0.218,0.5079333
0.22,0.5089999
0.222,0.3637333
0.224,0.3604666
0.226,0.5079333
0.228,0.5079333
0.23,0.3897333
0.232,0.3572
0.234,0.483
0.23600000000000002,0.5089999
0.23800000000000002,0.4049333
0.24,0.496
0.242,0.3745333
0.244,0.5003333
0.246,0.3929999
0.248,0.3637333
0.25,0.5003333
0.252,0.5057999
0.254,0.4006
0.256,0.3680666
0.258,0.4753999
0.26,0.3983999
0.262,0.5144666
0.264,0.5046666
0.266,0.3582666
0.268,0.3734666
0.27,0.5101333
0.272,0.5035999
0.274,0.3550666
0.276,0.3626
0.278,0.5176666
0.28,0.5068666
0.28200000000000003,0.3604666
0.28400000000000003,0.3637333
0.28600000000000003,0.4981999
0.28800000000000003,0.5144666
0.29,0.3886666
0.292,0.38
0.294,0.5003333
0.296,0.5101333
0.298,0.3876
0.3,0.3604666
0.302,0.5035999
0.304,0.5068666
0.306,0.3973333
0.308,0.3658666
0.31,0.5035999
0.312,0.3691333
0.314,0.5079333
0.316,0.3582666
0.318,0.5068666
0.32,0.3626
0.322,0.4981999
0.324,0.3496
0.326,0.4927333
0.328,0.4906
0.33,0.3637333
0.332,0.5035999
0.334,0.3550666
0.336,0.3854
0.338,0.5089999
0.34,0.4981999
0.342,0.3832666
0.34400000000000003,0.5089999
0.34600000000000003,0.4006
0.34800000000000003,0.5112
0.35000000000000003,0.3983999
0.352,0.5101333
0.354,0.4006
0.356,0.5013999
0.358,0.3983999
0.36,0.4906
0.362,0.3648
0.364,0.496
0.366,0.3876
0.368,0.4906
0.37,0.3572
0.372,0.4992666
0.374,0.3572
0.376,0.3626
0.378,0.4938666
0.38,0.367
0.382,0.4873333
0.384,0.3539333
0.386,0.4938666
0.388,0.4895333
0.39,0.3767333
0.392,0.3572
0.394,0.4927333
0.396,0.4981999
0.398,0.3983999
0.4,0.3919333
0.402,0.4970666
0.404,0.3810666
0.406,0.496
0.40800000000000003,0.496
0.41000000000000003,0.3929999
0.41200000000000003,0.3788666
0.41400000000000003,0.4884
0.41600000000000004,0.4927333
0.418,0.3756666
0.42,0.3594
0.422,0.4807999
0.424,0.4938666
0.426,0.3561333
0.428,0.4906
0.43,0.3691333
0.432,0.3637333
0.434,0.4873333
0.436,0.4840666
0.438,0.3658666
0.44,0.3626
0.442,0.4819333
0.444,0.4819333
0.446,0.3745333
0.448,0.4852
0.45,0.3767333
0.452,0.4873333
0.454,0.3767333
0.456,0.3745333
0.458,0.4797333
0.46,0.483
0.462,0.3756666
0.464,0.38
0.466,0.4753999
0.468,0.4753999
0.47000000000000003,0.3615333
0.47200000000000003,0.3691333
0.47400000000000003,0.483
0.47600000000000003,0.4797333
0.47800000000000004,0.38
0.48,0.3713333
0.482,0.4906
0.484,0.4753999
0.486,0.3864666
0.488,0.4949333
0.49,0.3626
0.492,0.3778
0.494,0.4786666
0.496,0.3734666
0.498,0.4743333
0.5,0.3821333
0.502,0.4689333
0.504,0.3745333
0.506,0.4634666
0.508,0.3713333
0.51,0.4645333
0.512,0.4634666
0.514,0.3734666
0.516,0.4710666
0.518,0.3810666
0.52,0.3745333
0.522,0.4992666
0.524,0.3767333
0.526,0.4613333
0.528,0.3821333
0.53,0.5068666
0.532,0.5035999
0.534,0.3788666
0.536,0.3767333
0.538,0.5013999
0.54,0.5144666
0.542,0.3745333
0.544,0.4656666
0.546,0.3691333
0.548,0.5013999
0.55,0.3778
0.552,0.3702
0.554,0.4580666
0.556,0.3854
0.558,0.4840666
0.56,0.4634666
0.562,0.3767333
0.5640000000000001,0.4852
0.5660000000000001,0.3734666
0.5680000000000001,0.367
0.5700000000000001,0.4743333
0.5720000000000001,0.5101333
0.5740000000000001,0.3821333
0.5760000000000001,0.3767333
0.578,0.483
0.58,0.5231333
0.582,0.3951333
0.584,0.3658666
0.586,0.4807999
0.588,0.38
0.59,0.5155333
0.592,0.4970666
0.594,0.3713333
0.596,0.3637333
0.598,0.5264
0.6,0.5122666
0.602,0.3604666
0.604,0.3658666
0.606,0.5046666
0.608,0.5209333
0.61,0.3843333
0.612,0.3724
0.614,0.4938666
0.616,0.5013999
0.618,0.3778
0.62,0.3745333
0.622,0.4992666
0.624,0.4938666
0.626,0.3745333
0.628,0.3637333
0.63,0.5252666
0.632,0.5318
0.634,0.3724
0.636,0.3626
0.638,0.5101333
0.64,0.5285333
0.642,0.3788666
0.644,0.3604666
0.646,0.5046666
0.648,0.3854
0.65,0.5296
0.652,0.5144666
0.654,0.3680666
0.656,0.3832666
0.658,0.5372
0.66,0.5307333
0.662,0.3756666
0.664,0.406
0.666,0.5285333
0.668,0.5328666
0.67,0.3854
0.672,0.5339333
0.674,0.4125333
0.676,0.5144666
0.678,0.3940666
0.68,0.5318
0.682,0.3983999
0.684,0.5296
0.686,0.3756666
0.6880000000000001,0.5198666
0.6900000000000001,0.3886666
0.6920000000000001,0.5264
0.6940000000000001,0.3691333
0.6960000000000001,0.3788666
0.6980000000000001,0.5231333
0.7000000000000001,0.3658666
0.7020000000000001,0.5285333
0.704,0.3648
0.706,0.5274666
0.708,0.5383333
0.71,0.406
0.712,0.3648
0.714,0.5166
0.716,0.5404666
0.718,0.4255333
0.72,0.3962666
0.722,0.5285333
0.724,0.5437333
0.726,0.406
0.728,0.3962666
0.73,0.5307333
0.732,0.5393999
0.734,0.4201333
0.736,0.3778
0.738,0.5447999
0.74,0.3702
0.742,0.5296
0.744,0.5101333
0.746,0.3550666
0.748,0.5166
0.75,0.3767333
0.752,0.5101333
0.754,0.3550666
0.756,0.5242
0.758,0.3680666
0.76,0.3745333
0.762,0.5155333
0.764,0.3778
0.766,0.5176666
0.768,0.3788666
0.77,0.5176666
0.772,0.5155333
0.774,0.3940666
0.776,0.3962666
0.778,0.5198666
0.78,0.4016666
0.782,0.5209333
0.784,0.5209333
0.786,0.3951333
0.788,0.5166
0.79,0.3626
0.792,0.3680666
0.794,0.5188
0.796,0.3648
0.798,0.5035999
0.8,0.3637333
0.802,0.5155333
0.804,0.3648
0.806,0.5122666
0.808,0.3572
0.81,0.496
0.812,0.5112
0.8140000000000001,0.3821333
0.8160000000000001,0.5209333
0.8180000000000001,0.3604666
0.8200000000000001,0.5101333
0.8220000000000001,0.4027333
0.8240000000000001,0.5144666
0.8260000000000001,0.3713333
0.8280000000000001,0.4027333
0.8300000000000001,0.5155333
0.8320000000000001,0.5155333
0.834,0.3940666
0.836,0.5046666
0.838,0.3897333
0.84,0.5025333
0.842,0.3658666
0.844,0.5101333
0.846,0.3940666
0.848,0.4938666
0.85,0.3734666
0.852,0.5089999
0.854,0.3528666
0.856,0.3582666
0.858,0.5101333
0.86,0.38
0.862,0.4949333
0.864,0.5089999
0.866,0.3843333
0.868,0.3626
0.87,0.4981999
0.872,0.5046666
0.874,0.4016666
0.876,0.5046666
0.878,0.3724
0.88,0.4938666
0.882,0.38
0.884,0.3929999
0.886,0.4938666
0.888,0.5003333
0.89,0.3832666
0.892,0.3778
0.894,0.5013999
0.896,0.4981999
0.898,0.3886666
0.9,0.4895333
0.902,0.3767333
0.904,0.4873333
0.906,0.3973333
0.908,0.4992666
0.91,0.3745333
0.912,0.3756666
0.914,0.4884
0.916,0.3734666
0.918,0.5176666
0.92,0.3713333
0.922,0.483
0.924,0.4840666
0.926,0.3788666
0.928,0.3778
0.93,0.4873333
0.932,0.4895333
0.934,0.3843333
0.936,0.4819333
0.9380000000000001,0.3876
0.9400000000000001,0.4819333
0.9420000000000001,0.3724
0.9440000000000001,0.4862666
0.9460000000000001,0.3778
0.9480000000000001,0.3778
0.9500000000000001,0.5144666
0.9520000000000001,0.5057999
0.9540000000000001,0.3854
0.9560000000000001,0.3821333
0.9580000000000001,0.5220666
0.96,0.5264
0.962,0.3854
0.964,0.483
0.966,0.3876
0.968,0.5274666
0.97,0.3821333
0.972,0.3908
0.974,0.4884
0.976,0.3897333
0.978,0.5296
0.98,0.5089999
0.982,0.3832666
0.984,0.3821333
0.986,0.4819333
0.988,0.3788666
0.99,0.4775999
0.992,0.5101333
0.994,0.3832666
0.996,0.4667333
0.998,0.3843333
1.0,0.38
1.002,0.5025333
1.004,0.3821333
1.006,0.4634666
1.008,0.3908
1.01,0.5209333
1.012,0.5013999
1.014,0.3821333
1.016,0.3843333
1.018,0.5361333
1.02,0.5252666
1.022,0.3810666
1.024,0.3854
1.026,0.5264
1.028,0.5393999
1.03,0.3908
1.032,0.3778
1.034,0.4852
1.036,0.3876
1.038,0.5274666
1.04,0.3745333
1.042,0.5035999
1.044,0.5176666
1.046,0.3778
1.048,0.3734666
1.05,0.5144666
1.052,0.5079333
1.054,0.3821333
1.056,0.3756666
1.058,0.5166
1.06,0.5307333
1.062,0.3897333
1.064,0.3745333
1.066,0.4840666
1.068,0.3886666
1.07,0.5361333
1.072,0.5252666
1.074,0.3713333
1.076,0.3724
1.078,0.5112
1.08,0.5079333
1.082,0.3680666
1.084,0.3724
1.086,0.5101333
1.088,0.5166
1.09,0.367
1.092,0.3734666
1.094,0.4949333
1.096,0.5307333
1.098,0.3745333
1.1,0.38
1.102,0.5318
1.104,0.5122666
1.106,0.3691333
1.108,0.3680666
1.11,0.5361333
1.112,0.5285333
1.114,0.3734666
1.116,0.3626
1.118,0.5264
1.12,0.5339333
1.122,0.3778
1.124,0.3713333
1.1260000000000001,0.5112
1.1280000000000001,0.5264
1.1300000000000001,0.3810666
1.1320000000000001,0.4970666
1.1340000000000001,0.3615333
