Time (s),Voltage (V)
0.0,0.3170666
0.002,0.8733999
0.004,0.7909333
0.006,0.2021333
0.008,0.1956666
0.01,0.8646666
0.012,0.1956666
0.014,0.8635999
0.016,0.1978
0.018000000000000002,0.8223999
0.02,0.8429999
0.022,0.2010666
0.024,0.1988667
0.026000000000000002,0.7746666
0.028,0.2010666
0.03,0.8321999
0.032,0.7269999
0.034,0.2
0.036000000000000004,0.1978
0.038,0.8625333
0.04,0.7768666
0.042,0.2010666
0.044,0.1902
0.046,0.8234666
0.048,0.7171999
0.05,0.2
0.052000000000000005,0.8592666
0.054,0.2
0.056,0.1956666
0.058,0.7996666
0.06,0.2010666
0.062,0.8820666
0.064,0.2010666
0.066,0.8668666
0.068,0.2032
0.07,0.8495333
0.07200000000000001,0.2010666
0.074,0.8679333
0.076,0.1978
0.078,0.7941999
0.08,0.8701332
0.082,0.2064666
0.084,0.1967333
0.08600000000000001,0.7735999
0.088,0.8093999
0.09,0.2043333
0.092,0.1978
0.094,0.7583999
0.096,0.2010666
0.098,0.7757999
0.1,0.1988667
0.10200000000000001,0.8159332
0.10400000000000001,0.2032
0.106,0.8083333
0.108,0.2010666
0.11,0.8495333
0.112,0.2010666
0.114,0.8538666
0.116,0.2032
0.11800000000000001,0.8213332
0.12,0.2010666
0.122,0.8841999
0.124,0.2043333
0.126,0.8191333
0.128,0.1978
0.13,0.8787999
0.132,0.8625333
0.134,0.2
0.136,0.2021333
0.138,0.8028666
0.14,0.8353999
0.14200000000000002,0.2032
0.14400000000000002,0.1967333
0.146,0.8093999
0.148,0.7659999
0.15,0.2032
0.152,0.2032
0.154,0.8245999
0.156,0.2076
0.158,0.7887999
0.16,0.1967333
0.162,0.9069999
0.164,0.2032
0.166,0.8267332
0.168,0.2054
0.17,0.8614666
0.17200000000000001,0.8690666
0.17400000000000002,0.2010666
0.176,0.8353999
0.178,0.2032
0.18,0.8928666
0.182,0.2054
0.184,0.2032
0.186,0.8126666
0.188,0.2064666
0.19,0.8755332
0.192,0.7497333
0.194,0.2
0.196,0.2010666
0.198,0.8007333
0.2,0.2021333
0.202,0.7779332
0.20400000000000001,0.7801332
0.20600000000000002,0.2032
0.20800000000000002,0.2
0.21,0.7389333
0.212,0.2021333
0.214,0.8668666
0.216,0.2032
0.218,0.8505999
0.22,0.2010666
0.222,0.9080666
0.224,0.1945333
0.226,0.8299999
0.228,0.1978
0.23,0.8690666
0.232,0.8690666
0.234,0.1988667
0.23600000000000002,0.2043333
0.23800000000000002,0.8668666
0.24,0.8809332
0.242,0.2043333
0.244,0.1945333
0.246,0.7811999
0.248,0.2032
0.25,0.8419333
0.252,0.1978
0.254,0.7811999
0.256,0.8007333
0.258,0.2
0.26,0.1945333
0.262,0.8159332
0.264,0.8245999
0.266,0.2010666
0.268,0.8559999
0.27,0.2010666
0.272,0.8571333
0.274,0.2054
0.276,0.2054
0.278,0.8614666
0.28,0.9113333
0.28200000000000003,0.1956666
0.28400000000000003,0.2
0.28600000000000003,0.8559999
0.28800000000000003,0.2043333
0.29,0.9004666
0.292,0.2032
0.294,0.8050666
0.296,0.2032
