Frequency (Hz),Vrms (V)
100,0.08889098641838143
500,0.08555931488993812
1000,0.08576747385137418
2000,0.0838016069193037
3000,0.08684722498957638
4000,0.08486030840862037
5000,0.08611936322304618
7000,0.08735341359679218
8000,0.08633625511843704
9000,0.08712248121980429
10000,0.08916168863454188
12000,0.08734046399756262
14000,0.08804220821366493
16000,0.08782937639206835
18000,0.08952323268355276
20000,0.08734179245879
25000,0.08909879427419438
30000,0.08925484374631208
50000,0.08848664486219106
