Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V)
-0.025,2.534933,-0.008986666,8.496932
-0.02495,-2.501333,-0.0009066666,12.51027
-0.024900000000000002,-2.4336,5.333333e-05,12.45373
-0.02485,-2.478666,-0.005173333,12.49067
-0.024800000000000003,-2.492266,-0.004213333,12.46467
-0.02475,-2.4336,0.00528,12.48853
-0.0247,-2.4968,0.006719999,12.4864
-0.024650000000000002,-2.446933,-0.00136,12.45373
-0.0246,-2.492266,0.002906666,12.48853
-0.024550000000000002,-2.438133,-0.004213333,12.46893
-0.0245,-2.446933,-0.007546666,12.46027
-0.024450000000000003,-2.487733,0.0005333333,12.482
-0.0244,-2.492266,-0.00232,12.4516
-0.02435,-2.4336,0.00528,12.49507
-0.024300000000000002,-2.4424,0.004346666,12.46027
-0.02425,-2.501333,-0.004693333,12.49067
-0.024200000000000003,-2.446933,0.001946667,12.49293
-0.02415,-2.4968,-0.006133333,12.45587
-0.0241,-2.446933,5.333333e-05,12.45373
-0.024050000000000002,-2.492266,-0.007066666,12.49067
-0.024,-2.438133,-0.004693333,12.46027
-0.023950000000000003,-2.492266,0.003386667,12.49067
-0.0239,-2.501333,0.001013333,12.49933
-0.023850000000000003,-2.429066,-0.005653333,12.46027
-0.0238,-2.438133,-0.008506666,12.45587
-0.02375,-2.492266,0.0005333333,12.49933
-0.023700000000000002,-2.501333,-0.006133333,12.4864
-0.02365,-2.446933,5.333333e-05,12.45587
-0.023600000000000003,-2.501333,-0.005173333,12.4972
-0.02355,-2.4424,0.002426666,12.46027
-0.0235,-2.4424,-0.008026666,12.46027
-0.023450000000000002,-2.492266,5.333333e-05,12.4864
-0.0234,-2.4336,-0.007066666,12.46467
-0.023350000000000003,-2.492266,-0.0004266666,12.48853
-0.0233,-2.438133,-0.00232,12.45587
-0.02325,-2.4968,-0.008506666,12.49293
-0.023200000000000002,-2.451466,-0.004693333,12.4972
-0.02315,-2.492266,0.004346666,12.46027
-0.023100000000000002,-2.438133,-0.00232,12.48413
-0.02305,-2.487733,0.006719999,12.4624
-0.023,-2.487733,0.00576,12.49067
-0.02295,-2.456,-0.003733333,12.46467
-0.0229,-2.446933,0.003386667,12.49293
-0.022850000000000002,-2.492266,-0.005173333,12.45587
-0.0228,-2.492266,5.333333e-05,12.46467
-0.02275,-2.4424,-0.007066666,12.49293
-0.0227,-2.492266,-0.004693333,12.48853
-0.02265,-2.4424,0.002426666,12.45587
-0.022600000000000002,-2.501333,0.002426666,12.49293
-0.02255,-2.438133,0.01098667,12.46467
-0.022500000000000003,-2.438133,0.01288,12.45373
-0.02245,-2.4832,0.003386667,12.48413
-0.0224,-2.438133,0.008133333,12.49293
-0.022350000000000002,-2.492266,-0.0004266666,12.45587
-0.0223,-2.438133,0.002426666,12.49293
-0.022250000000000002,-2.492266,-0.005173333,12.45587
-0.0222,-2.438133,-0.0028,12.46027
-0.022150000000000003,-2.487733,0.006719999,12.49067
-0.0221,-2.492266,0.002906666,12.4624
-0.02205,-2.446933,0.01288,12.49067
-0.022000000000000002,-2.446933,0.01146667,12.45587
-0.02195,-2.492266,0.001493333,12.49067
-0.021900000000000003,-2.438133,0.008133333,12.49293
-0.02185,-2.487733,-0.00136,12.46027
-0.0218,-2.492266,-0.00328,12.45813
-0.021750000000000002,-2.438133,0.003866666,12.48853
-0.0217,-2.446933,-0.0004266666,12.49293
-0.021650000000000003,-2.4832,0.008613333,12.4624
-0.0216,-2.438133,0.0005333333,12.45587
