Time (s),CH2 Voltage (V),CH3 Voltage (V)
-0.1,0.08328,0.0533
-0.0998,0.08278,0.05569333
-0.09960000000000001,0.08345333,0.05578666
-0.0994,0.08275333,0.05489999
-0.09920000000000001,0.08337333,0.05496
-0.099,0.08273999,0.05701333
-0.0988,0.08330666,0.05731333
-0.09860000000000001,0.08269999,0.05652
-0.0984,0.08329333,0.05633333
-0.09820000000000001,0.08263332,0.0572
-0.098,0.08267333,0.05740666
-0.09780000000000001,0.08328,0.05647999
-0.0976,0.08268666,0.05687333
-0.0974,0.08326666,0.05539333
-0.09720000000000001,0.08328,0.05568
-0.097,0.08268666,0.05706666
-0.09680000000000001,0.08267333,0.05697333
-0.0966,0.08329333,0.05486
-0.0964,0.08269999,0.05540666
-0.09620000000000001,0.08333333,0.05441333
-0.096,0.08341333,0.05498666
-0.09580000000000001,0.08271333,0.05344666
-0.0956,0.08276666,0.05387999
-0.09540000000000001,0.08338666,0.05245333
-0.0952,0.08338666,0.05298666
-0.095,0.08275333,0.05204666
-0.09480000000000001,0.08275333,0.05216666
-0.0946,0.08334666,0.05311999
-0.09440000000000001,0.08333333,0.05309333
-0.0942,0.08272666,0.05212666
-0.094,0.08333333,0.05234666
-0.09380000000000001,0.08271333,0.0541
-0.0936,0.08334666,0.05406
-0.09340000000000001,0.08267333,0.0527
-0.0932,0.08267333,0.05272666
-0.093,0.08331999,0.05463333
-0.09280000000000001,0.08275333,0.05420666
-0.0926,0.08331999,0.05496
-0.09240000000000001,0.08334666,0.05449333
-0.0922,0.08273999,0.05629333
-0.092,0.08331999,0.05581333
-0.0918,0.08271333,0.05765333
-0.0916,0.08330666,0.05708
-0.09140000000000001,0.08269999,0.05769333
-0.0912,0.08334666,0.05710666
-0.091,0.08273999,0.05784
-0.0908,0.08269999,0.05785333
-0.0906,0.08334666,0.05663333
-0.09040000000000001,0.08338666,0.05716
-0.0902,0.08275333,0.05624
-0.09000000000000001,0.08273999,0.05675333
-0.0898,0.08341333,0.05596666
-0.0896,0.08275333,0.05645333
-0.08940000000000001,0.0834,0.05512
-0.0892,0.08337333,0.05559999
-0.08900000000000001,0.08280666,0.05478
-0.0888,0.08281999,0.05526
-0.08860000000000001,0.08341333,0.05384
-0.0884,0.08279333,0.05381333
-0.0882,0.08341333,0.05468666
-0.08800000000000001,0.08342666,0.05466
-0.0878,0.08275333,0.05317333
-0.08760000000000001,0.08343999,0.05310666
-0.0874,0.08284666,0.05400666
-0.0872,0.08288666,0.05398
-0.08700000000000001,0.08347999,0.05283333
-0.0868,0.08284666,0.05286
-0.08660000000000001,0.08349333,0.05385333
-0.0864,0.08347999,0.05378666
-0.0862,0.08288666,0.05308
-0.08600000000000001,0.08352,0.05327333
-0.0858,0.08288666,0.05430666
-0.08560000000000001,0.08287333,0.05418
-0.0854,0.08352,0.05317333
-0.0852,0.08288666,0.05343333
-0.085,0.08347999,0.05489999
-0.0848,0.08350666,0.05437333
-0.08460000000000001,0.08281999,0.05558666
-0.0844,0.08343999,0.05513333
-0.0842,0.08275333,0.05646666
-0.084,0.08338666,0.05598
-0.08380000000000001,0.08278,0.05716
-0.08360000000000001,0.08280666,0.05666
-0.0834,0.08342666,0.05765333
-0.0832,0.08280666,0.05721333
-0.083,0.08342666,0.05819333
-0.08280000000000001,0.08280666,0.05802
-0.0826,0.08343999,0.05684666
-0.0824,0.08284666,0.05686
-0.08220000000000001,0.08343999,0.05786666
-0.082,0.08279333,0.05778666
-0.08180000000000001,0.08350666,0.05683333
-0.0816,0.08287333,0.05734
-0.0814,0.08350666,0.05607333
-0.08120000000000001,0.08352,0.05661999
-0.081,0.08287333,0.05582666
-0.08080000000000001,0.08285999,0.05641333
-0.0806,0.08349333,0.05513333
-0.0804,0.08288666,0.05568
-0.08020000000000001,0.08347999,0.05476666
-0.08,0.08280666,0.05544666
-0.07980000000000001,0.08347999,0.05442666
-0.0796,0.08283333,0.05486
-0.0794,0.08342666,0.05309333
-0.0792,0.0834,0.05361333
-0.079,0.08275333,0.05288666
-0.07880000000000001,0.08278,0.05314666
-0.0786,0.08338666,0.05387999
-0.0784,0.08275333,0.05364
-0.0782,0.08343999,0.05254666
-0.078,0.08280666,0.05254666
-0.07780000000000001,0.08346666,0.05347333
-0.0776,0.08283333,0.05296
-0.0774,0.08346666,0.05393999
-0.0772,0.08288666,0.05331333
-0.07700000000000001,0.08347999,0.05418
-0.07680000000000001,0.08349333,0.05368
-0.0766,0.08281999,0.05478
-0.07640000000000001,0.08283333,0.05412666
-0.0762,0.08347999,0.05480666
-0.07600000000000001,0.08347999,0.05435999
-0.0758,0.08285999,0.05559999
-0.0756,0.08342666,0.05569333
-0.07540000000000001,0.08284666,0.05498666
-0.0752,0.08346666,0.05509333
-0.07500000000000001,0.08276666,0.05593999
-0.0748,0.08272666,0.05565333
-0.0746,0.08334666,0.05384
-0.07440000000000001,0.08333333,0.05389333
-0.0742,0.08271333,0.05478
-0.07400000000000001,0.08328,0.05487333
-0.0738,0.08267333,0.05359999
-0.0736,0.08325332,0.0533
-0.0734,0.08267333,0.05406
-0.0732,0.08333333,0.05356666
-0.07300000000000001,0.08269999,0.05444
-0.0728,0.08333333,0.05366666
-0.0726,0.08269999,0.05487333
-0.0724,0.08263332,0.05435999
-0.0722,0.08330666,0.05526
-0.07200000000000001,0.08331999,0.05475333
-0.0718,0.08271333,0.05622
-0.0716,0.08272666,0.05573333
-0.0714,0.08341333,0.05674
-0.0712,0.08281999,0.05676666
-0.07100000000000001,0.08349333,0.05611333
-0.0708,0.0829,0.05666
-0.0706,0.08349333,0.05603333
-0.0704,0.08349333,0.05666
-0.07020000000000001,0.08292666,0.05584
-0.07,0.08294,0.05552666
-0.0698,0.08353332,0.05644
-0.06960000000000001,0.08356,0.05598
-0.0694,0.0829,0.05740666
-0.06920000000000001,0.0829,0.05740666
-0.069,0.08354666,0.05637333
-0.0688,0.08357333,0.05624
-0.0686,0.08288666,0.05716
-0.0684,0.08285999,0.05668666
-0.06820000000000001,0.08347999,0.05766666
-0.068,0.08347999,0.0575
-0.0678,0.08281999,0.05632
-0.06760000000000001,0.0834,0.05618
-0.0674,0.08279333,0.05690666
-0.06720000000000001,0.08342666,0.05713333
-0.067,0.08281999,0.05595333
-0.0668,0.08279333,0.05636
-0.0666,0.08345333,0.05368
-0.0664,0.08284666,0.05364
-0.06620000000000001,0.08347999,0.05534
-0.066,0.08287333,0.05534
-0.0658,0.08346666,0.05280666
-0.0656,0.08287333,0.05253333
-0.06540000000000001,0.08354666,0.05384
-0.06520000000000001,0.08284666,0.05339333
-0.065,0.08356,0.05419333
-0.0648,0.08285999,0.05365333
-0.0646,0.08353332,0.05462
-0.06440000000000001,0.08356,0.05462
-0.06420000000000001,0.08288666,0.05342
-0.064,0.0829,0.05351333
-0.0638,0.08350666,0.05528666
-0.0636,0.08350666,0.05538
-0.06340000000000001,0.08284666,0.05463333
-0.0632,0.08343999,0.05468666
-0.063,0.08280666,0.05659333
-0.0628,0.08283333,0.0561
-0.0626,0.08346666,0.05687333
-0.062400000000000004,0.08284666,0.05624
-0.062200000000000005,0.08343999,0.05736666
-0.062000000000000006,0.08285999,0.05769333
-0.0618,0.08347999,0.05652
-0.0616,0.08347999,0.05701333
-0.0614,0.08287333,0.05576
-0.061200000000000004,0.08287333,0.05672666
-0.061000000000000006,0.08343999,0.05545999
-0.06080000000000001,0.08280666,0.05593999
-0.0606,0.08345333,0.05412666
-0.0604,0.08278,0.05416666
-0.060200000000000004,0.08342666,0.05534
-0.060000000000000005,0.08337333,0.05521333
-0.059800000000000006,0.08272666,0.05406
-0.0596,0.08341333,0.05398
-0.0594,0.08271333,0.05479333
-0.0592,0.08275333,0.05423333
-0.059000000000000004,0.08338666,0.05574666
-0.058800000000000005,0.08337333,0.05581333
-0.058600000000000006,0.08273999,0.05420666
-0.0584,0.08341333,0.05404666
-0.0582,0.08275333,0.05588
-0.058,0.08276666,0.05548666
-0.057800000000000004,0.08346666,0.05664666
-0.057600000000000005,0.08281999,0.05496
-0.05740000000000001,0.08343999,0.05604666
-0.0572,0.08341333,0.05561333
-0.057,0.08283333,0.0573
-0.0568,0.08283333,0.05723333
-0.056600000000000004,0.08345333,0.05606
-0.056400000000000006,0.08345333,0.05615333
-0.05620000000000001,0.08279333,0.05804666
-0.056,0.08347999,0.05761333
-0.0558,0.08280666,0.05854666
-0.055600000000000004,0.08278,0.05798
-0.055400000000000005,0.0834,0.05871333
-0.055200000000000006,0.08338666,0.05815333
-0.055,0.08276666,0.05898666
-0.0548,0.08271333,0.05853333
-0.0546,0.08342666,0.05957333
-0.054400000000000004,0.0834,0.05867333
-0.054200000000000005,0.08276666,0.05957333
-0.054000000000000006,0.08341333,0.05909333
-0.0538,0.08280666,0.06044
-0.0536,0.08279333,0.06002
-0.0534,0.08342666,0.05776
-0.053200000000000004,0.08350666,0.05796666
-0.053000000000000005,0.08276666,0.05978666
-0.05280000000000001,0.08284666,0.05927333
-0.0526,0.08345333,0.05548666
-0.0524,0.08284666,0.05608666
-0.0522,0.08347999,0.05522666
-0.052000000000000005,0.08342666,0.05568
-0.051800000000000006,0.08276666,0.05272666
-0.0516,0.08281999,0.05318666
-0.0514,0.08341333,0.05245333
-0.0512,0.0834,0.05294666
-0.051000000000000004,0.08278,0.05182666
-0.050800000000000005,0.08273999,0.05178666
-0.050600000000000006,0.08338666,0.05316
-0.0504,0.08337333,0.05216666
-0.0502,0.08269999,0.05316
-0.05,0.08267333,0.05271333
-0.049800000000000004,0.08335999,0.05654666
-0.049600000000000005,0.08276666,0.05672666
-0.049400000000000006,0.08342666,0.05522666
-0.0492,0.08281999,0.05524666
-0.049,0.08343999,0.05818
-0.0488,0.0829,0.05766666
-0.048600000000000004,0.08357333,0.05889333
-0.048400000000000006,0.08295333,0.05762666
-0.0482,0.08356,0.05902666
-0.048,0.08356,0.05853333
-0.0478,0.08288666,0.05977333
-0.0476,0.08352,0.05970666
-0.047400000000000005,0.08291332,0.05906666
-0.047200000000000006,0.08352,0.05915999
-0.047,0.08291332,0.05999333
-0.0468,0.08287333,0.05940666
-0.0466,0.08352,0.06022666
-0.046400000000000004,0.08291332,0.06026666
-0.046200000000000005,0.08353332,0.05847999
-0.046000000000000006,0.0829,0.05897333
-0.0458,0.08353332,0.05827999
-0.0456,0.0829,0.05876666
-0.0454,0.08362666,0.05706666
-0.045200000000000004,0.08297999,0.0575
-0.045000000000000005,0.08361333,0.05659333
-0.0448,0.08363999,0.05726
-0.0446,0.08303333,0.05536666
-0.0444,0.08308666,0.05578666
-0.0442,0.08369333,0.05432
-0.044000000000000004,0.08369333,0.05539333
-0.043800000000000006,0.08297999,0.05389333
-0.0436,0.08366666,0.0544
-0.0434,0.08303333,0.05298666
-0.0432,0.08294,0.053
-0.043000000000000003,0.08358666,0.05378666
-0.042800000000000005,0.08350666,0.0532
-0.042600000000000006,0.0829,0.05419333
-0.0424,0.08347999,0.05365333
-0.0422,0.08285999,0.05474
-0.042,0.08283333,0.05423333
-0.041800000000000004,0.08349333,0.05647999
-0.041600000000000005,0.08285999,0.0561
-0.0414,0.08345333,0.05737999
-0.0412,0.08287333,0.05672666
-0.041,0.08349333,0.05837333
-0.0408,0.08287333,0.05796666
-0.040600000000000004,0.08347999,0.05978666
-0.040400000000000005,0.08285999,0.05902666
-0.0402,0.08346666,0.05974666
-0.04,0.08349333,0.05929999
-0.0398,0.08287333,0.06044
-0.0396,0.08291332,0.06041333
-0.039400000000000004,0.08347999,0.05943333
