Time (s),Voltage (V),Frequency (Hz),Magnitude (dB)
-2.0,0.14416,0.0,41.89236121161956
-1.998,0.1132467,0.0,41.89236121161956
-1.996,0.11734,0.0,41.89236121161956
-1.994,0.1082933,0.0,41.89236121161956
-1.992,0.1084,0.0,41.89236121161956
-1.99,0.14804,0.0,41.89236121161956
-1.988,0.14588,0.0,41.89236121161956
-1.986,0.1084,0.0,41.89236121161956
-1.984,0.10786,0.0,41.89236121161956
-1.982,0.1407133,0.0,41.89236121161956
-1.98,0.1475,0.0,41.89236121161956
-1.978,0.1130333,0.0,41.89236121161956
-1.976,0.1171267,0.0,41.89236121161956
-1.974,0.1079667,0.0,41.89236121161956
-1.972,0.10872,0.0,41.89236121161956
-1.97,0.14836,0.0,41.89236121161956
-1.968,0.1447,0.0,41.89236121161956
-1.966,0.10808,0.0,41.89236121161956
-1.964,0.1081867,0.0,41.89236121161956
-1.962,0.1463133,0.0,41.89236121161956
-1.96,0.1471733,0.0,41.89236121161956
-1.958,0.11368,0.0,41.89236121161956
-1.956,0.1175533,0.0,41.89236121161956
-1.954,0.1084,0.0,41.89236121161956
-1.952,0.1084,0.0,41.89236121161956
-1.95,0.14502,0.0,41.89236121161956
-1.948,0.1457733,0.0,41.89236121161956
-1.946,0.10808,0.0,41.89236121161956
-1.944,0.1082933,0.0,41.89236121161956
-1.942,0.1449133,0.0,41.89236121161956
-1.94,0.1477133,0.0,41.89236121161956
-1.938,0.114,0.0,41.89236121161956
-1.936,0.1179867,0.0,41.89236121161956
-1.934,0.1086133,0.0,41.89236121161956
-1.932,0.10894,0.0,41.89236121161956
-1.93,0.14588,0.0,41.89236121161956
-1.928,0.1457733,0.0,41.89236121161956
-1.926,0.1085067,0.0,41.89236121161956
-1.924,0.1086133,0.0,41.89236121161956
-1.922,0.14588,0.0,41.89236121161956
-1.92,0.1463133,0.0,41.89236121161956
-1.918,0.1141067,0.0,41.89236121161956
-1.916,0.1177733,0.0,41.89236121161956
-1.914,0.10808,0.0,41.89236121161956
-1.912,0.1086133,0.0,41.89236121161956
-1.91,0.1454533,0.0,41.89236121161956
-1.908,0.1473933,0.0,41.89236121161956
-1.906,0.1082933,0.0,41.89236121161956
-1.904,0.1081867,0.0,41.89236121161956
-1.902,0.1457733,0.0,41.89236121161956
-1.9,0.1485733,0.0,41.89236121161956
-1.898,0.1135733,0.0,41.89236121161956
-1.896,0.1175533,0.0,41.89236121161956
-1.894,0.1076467,0.0,41.89236121161956
-1.892,0.10786,0.0,41.89236121161956
-1.89,0.1501933,0.0,41.89236121161956
-1.888,0.1457733,0.0,41.89236121161956
-1.886,0.10754,0.0,41.89236121161956
-1.884,0.1076467,0.0,41.89236121161956
-1.882,0.14588,0.0,41.89236121161956
-1.88,0.1463133,0.0,41.89236121161956
-1.8780000000000001,0.1129267,0.0,41.89236121161956
-1.876,0.11702,0.0,41.89236121161956
-1.874,0.1076467,0.0,41.89236121161956
-1.8719999999999999,0.10808,0.0,41.89236121161956
-1.87,0.1466333,0.0,41.89236121161956
-1.8679999999999999,0.1466333,0.0,41.89236121161956
-1.866,0.1076467,0.0,41.89236121161956
-1.8639999999999999,0.10786,0.0,41.89236121161956
-1.862,0.14362,0.0,41.89236121161956
-1.8599999999999999,0.1476067,0.0,41.89236121161956
-1.858,0.1129267,0.0,41.89236121161956
-1.8559999999999999,0.1169067,0.0,41.89236121161956
-1.854,0.1076467,0.0,41.89236121161956
-1.852,0.1082933,0.0,41.89236121161956
-1.85,0.14782,0.0,41.89236121161956
-1.848,0.14556,0.0,41.89236121161956
-1.846,0.1079667,0.0,41.89236121161956
-1.844,0.10808,0.0,41.89236121161956
-1.842,0.1457733,0.0,41.89236121161956
-1.84,0.1463133,0.0,41.89236121161956
-1.838,0.1141067,0.0,41.89236121161956
-1.836,0.1175533,0.0,41.89236121161956
-1.834,0.1082933,0.0,41.89236121161956
-1.832,0.1088333,0.0,41.89236121161956
-1.83,0.14728,0.0,41.89236121161956
-1.828,0.1467467,0.0,41.89236121161956
-1.826,0.1082933,0.0,41.89236121161956
-1.824,0.1084,0.0,41.89236121161956
-1.822,0.14696,0.0,41.89236121161956
-1.82,0.1477133,0.0,41.89236121161956
-1.818,0.114,0.0,41.89236121161956
-1.816,0.1177733,0.0,41.89236121161956
-1.814,0.1084,0.0,41.89236121161956
-1.812,0.1086133,0.0,41.89236121161956
-1.81,0.1465266,0.0,41.89236121161956
-1.808,0.1462067,0.0,41.89236121161956
-1.806,0.10786,0.0,41.89236121161956
-1.804,0.10808,0.0,41.89236121161956
-1.802,0.1465266,0.0,41.89236121161956
-1.8,0.14696,0.0,41.89236121161956
-1.798,0.11314,0.0,41.89236121161956
-1.796,0.11702,0.0,41.89236121161956
-1.794,0.1081867,0.0,41.89236121161956
-1.792,0.1084,0.0,41.89236121161956
-1.79,0.1453467,0.0,41.89236121161956
-1.788,0.1453467,0.0,41.89236121161956
-1.786,0.10786,0.0,41.89236121161956
-1.784,0.1076467,0.0,41.89236121161956
-1.782,0.14448,0.0,41.89236121161956
-1.78,0.1466333,0.0,41.89236121161956
-1.778,0.11368,0.0,41.89236121161956
-1.776,0.1172333,0.0,41.89236121161956
-1.774,0.1074333,0.0,41.89236121161956
-1.772,0.1081867,0.0,41.89236121161956
-1.77,0.1485733,0.0,41.89236121161956
-1.768,0.1476067,0.0,41.89236121161956
-1.766,0.1076467,0.0,41.89236121161956
-1.764,0.10786,0.0,41.89236121161956
-1.762,0.1461,0.0,41.89236121161956
-1.76,0.15008,0.0,41.89236121161956
-1.758,0.1132467,0.0,41.89236121161956
-1.756,0.11702,0.0,41.89236121161956
-1.754,0.10786,0.0,41.89236121161956
-1.752,0.10786,0.0,41.89236121161956
