Time (s),CH2 (V),CH3 (V)
0.0,0.08059333,0.12332
5e-05,0.07990666,0.12008
0.0001,0.07974666,0.1158733
0.00015000000000000001,0.08079333,0.1239
0.0002,0.08087999,0.1241333
0.00025,0.08010666,0.1195333
0.00030000000000000003,0.08002666,0.11578
0.00035,0.08099999,0.12386
0.0004,0.08114666,0.12412
0.00045000000000000004,0.08021999,0.1194533
0.0005,0.08015333,0.1158867
0.00055,0.08108,0.1233467
0.0006000000000000001,0.08113333,0.12382
0.0006500000000000001,0.08019333,0.1199133
0.0007,0.08016666,0.1166067
0.00075,0.08111999,0.12336
0.0008,0.08115999,0.12386
0.0008500000000000001,0.08032666,0.12016
0.0009000000000000001,0.08018,0.1167867
0.00095,0.08103999,0.1239533
0.001,0.08114666,0.12412
0.0010500000000000002,0.08023333,0.1197133
0.0011,0.08021999,0.1164467
0.00115,0.08111999,0.1239867
0.0012000000000000001,0.08123999,0.12428
0.00125,0.0803,0.1191933
0.0013000000000000002,0.08018,0.1165667
0.00135,0.08099999,0.1232467
0.0014,0.08099999,0.1240667
0.0014500000000000001,0.07996,0.1191533
0.0015,0.07981333,0.11684
0.0015500000000000002,0.08072666,0.1227867
0.0016,0.08086666,0.12404
0.00165,0.08002666,0.1194667
0.0017000000000000001,0.07989333,0.1170733
0.00175,0.08087999,0.12318
0.0018000000000000002,0.08092,0.1245267
0.00185,0.07999999,0.11964
0.0019,0.07987999,0.1170467
0.0019500000000000001,0.08079333,0.1232067
0.002,0.08079333,0.1245267
0.00205,0.07993333,0.1194
0.0021000000000000003,0.07977333,0.1173267
0.00215,0.0807,0.1228667
0.0022,0.08074,0.12416
0.0022500000000000003,0.07984,0.1195333
0.0023,0.07975999,0.1178067
0.00235,0.08071332,0.1225133
0.0024000000000000002,0.08080666,0.1238867
0.00245,0.07990666,0.1197667
0.0025,0.07979999,0.11794
0.00255,0.08074,0.1227467
0.0026000000000000003,0.08074,0.12374
0.00265,0.07985333,0.1197133
0.0027,0.07973333,0.1180667
0.0027500000000000003,0.08065999,0.12292
0.0028,0.08071332,0.1237933
0.00285,0.07991999,0.1195467
0.0029000000000000002,0.07981333,0.12224
0.00295,0.08075333,0.1182
0.003,0.08086666,0.1233733
0.00305,0.07994666,0.11914
0.0031000000000000003,0.07977333,0.12268
0.00315,0.08076666,0.1185667
0.0032,0.08079333,0.1233
0.0032500000000000003,0.07972,0.1187333
0.0033,0.07968,0.1231133
0.00335,0.08059333,0.1191533
0.0034000000000000002,0.08063333,0.1234667
0.0034500000000000004,0.07978666,0.1184333
0.0035,0.07957333,0.1229933
0.00355,0.08044666,0.1190867
0.0036000000000000003,0.08055333,0.1228667
0.00365,0.07950666,0.1177933
0.0037,0.07931333,0.1224333
0.0037500000000000003,0.08025999,0.1186933
0.0038,0.08024666,0.1219867
0.00385,0.07935333,0.1172467
0.0039000000000000003,0.07923333,0.12228
0.00395,0.08013333,0.1187867
0.004,0.08016666,0.1221867
0.00405,0.07929999,0.1168533
0.0041,0.07923333,0.11868
0.00415,0.08009332,0.1222267
0.004200000000000001,0.08012,0.1227733
0.00425,0.07924666,0.1168533
0.0043,0.0791,0.1184067
0.004350000000000001,0.08005333,0.1220267
0.0044,0.08008,0.12302
0.00445,0.07923333,0.1168933
0.0045000000000000005,0.07908666,0.1184867
0.00455,0.08003999,0.1220533
0.0046,0.08016666,0.1222667
0.0046500000000000005,0.07922,0.11668
0.0047,0.07916666,0.1185
0.00475,0.08019333,0.12228
0.0048000000000000004,0.08028666,0.1225267
0.00485,0.07946666,0.1168667
0.0049,0.07937999,0.11868
0.00495,0.08034,0.1222933
0.005,0.08035333,0.1228133
0.005050000000000001,0.07947999,0.11684
0.0051,0.07939333,0.11824
0.00515,0.08036666,0.1219
0.005200000000000001,0.08044666,0.1232467
0.00525,0.07965333,0.1172733
0.0053,0.07958666,0.11846
0.005350000000000001,0.08053999,0.1219
0.0054,0.08059333,0.1234533
0.00545,0.07970666,0.1176133
0.0055000000000000005,0.07956,0.11858
0.00555,0.08059333,0.1220267
0.0056,0.08064666,0.1238733
0.0056500000000000005,0.07975999,0.11786
0.0057,0.07966666,0.11868
0.00575,0.0807,0.1221867
0.0058000000000000005,0.08071332,0.1239867
0.00585,0.07973333,0.11778
0.0059,0.07965333,0.1184067
0.00595,0.08063333,0.1219533
0.006,0.08064666,0.1239133
0.006050000000000001,0.07972,0.1177667
0.0061,0.07961333,0.1181067
0.00615,0.08056666,0.1214667
0.006200000000000001,0.08067333,0.1233733
0.00625,0.07979999,0.1177267
0.0063,0.07970666,0.1177933
0.006350000000000001,0.08060666,0.1210467
0.0064,0.08064666,0.1233733
0.00645,0.07978666,0.1175733
0.006500000000000001,0.07962666,0.11752
0.00655,0.08058,0.12102
0.0066,0.08067333,0.12404
0.0066500000000000005,0.07984,0.1179267
0.0067,0.07972,0.1177533
0.00675,0.08074,0.12152
0.0068000000000000005,0.08079333,0.1244467
0.00685,0.07994666,0.1184467
0.006900000000000001,0.07985333,0.11824
0.0069500000000000004,0.08085333,0.1218333
0.007,0.08092,0.1240133
0.007050000000000001,0.08010666,0.1184867
0.0071,0.08003999,0.1182667
0.00715,0.08098666,0.1212333
0.007200000000000001,0.08102666,0.1234133
0.00725,0.08018,0.1182667
0.0073,0.08005333,0.1178733
0.007350000000000001,0.08102666,0.1208133
0.0074,0.08106666,0.1233733
0.00745,0.08018,0.1186667
0.007500000000000001,0.08016666,0.11832
0.00755,0.08113333,0.1211533
0.0076,0.08115999,0.1236467
0.0076500000000000005,0.08037999,0.1191533
0.0077,0.08027333,0.11884
0.00775,0.08118666,0.1219667
0.0078000000000000005,0.08115999,0.1231933
0.007850000000000001,0.08031332,0.1191933
0.0079,0.08012,0.1187733
0.00795,0.08101333,0.1221867
0.008,0.08099999,0.1227333
0.00805,0.08012,0.11876
0.0081,0.07997333,0.1180533
0.008150000000000001,0.08077999,0.1215067
0.0082,0.08080666,0.1224333
0.00825,0.07997333,0.11892
0.0083,0.07984,0.1179133
0.00835,0.0807,0.12208
0.008400000000000001,0.08076666,0.1226933
0.008450000000000001,0.07990666,0.1190067
0.0085,0.07973333,0.1176267
0.00855,0.08060666,0.12254
0.0086,0.0807,0.12318
0.00865,0.07973333,0.1185933
0.008700000000000001,0.07965333,0.1173467
0.00875,0.08055333,0.1225267
0.0088,0.08059333,0.1232733
0.00885,0.07972,0.1189067
0.0089,0.07965333,0.11774
0.00895,0.08056666,0.12242
0.009000000000000001,0.08065999,0.1231267
0.00905,0.07977333,0.1194
0.0091,0.07961333,0.11774
0.00915,0.08058,0.12254
0.0092,0.08063333,0.12344
0.009250000000000001,0.07979999,0.1200267
0.009300000000000001,0.07969332,0.1178867
0.00935,0.08068666,0.1232733
0.0094,0.08075333,0.1237533
0.00945,0.07987999,0.1200533
0.0095,0.07977333,0.1179933
0.009550000000000001,0.08071332,0.1232067
0.009600000000000001,0.08072666,0.12374
0.00965,0.07987999,0.12008
0.0097,0.07978666,0.1182933
0.00975,0.0807,0.12302
0.0098,0.08076666,0.1240933
0.009850000000000001,0.07989333,0.1206067
0.0099,0.07985333,0.1231133
0.00995,0.08067333,0.1187067
0.01,0.08072666,0.1246667
0.01005,0.07985333,0.1213467
0.010100000000000001,0.07974666,0.1240667
0.010150000000000001,0.08059333,0.1189333
0.0102,0.08055333,0.12468
0.01025,0.07963999,0.1215333
0.0103,0.07954666,0.12408
0.01035,0.08040666,0.11876
