Time (s),CH2 (V),CH3 (V)
0.0,0.08890666,0.06772
5e-06,0.08864666,0.06706666
1e-05,0.08923999,0.06769333
1.5000000000000002e-05,0.08860666,0.06686666
2e-05,0.08921333,0.06744666
2.5e-05,0.08854,0.06637333
3.0000000000000004e-05,0.08917332,0.06692
3.5000000000000004e-05,0.08854,0.06607333
4e-05,0.08847333,0.06614
4.5e-05,0.08911999,0.06689333
5e-05,0.08911999,0.06626666
5.5e-05,0.08847333,0.06706666
6.000000000000001e-05,0.08906666,0.06638666
6.500000000000001e-05,0.08839333,0.06720666
7.000000000000001e-05,0.08842,0.06660666
7.500000000000001e-05,0.08906666,0.06738
8e-05,0.08910666,0.06682
8.5e-05,0.08845999,0.06766666
9e-05,0.08909333,0.06774666
9.5e-05,0.08843333,0.06706666
0.0001,0.08851333,0.06717333
0.000105,0.08919999,0.06833333
0.00011,0.08861999,0.06838666
0.000115,0.08922666,0.06716
0.00012000000000000002,0.08925333,0.06763999
0.000125,0.08856666,0.06677999
0.00013000000000000002,0.08861999,0.06747333
0.000135,0.08932,0.06676666
0.00014000000000000001,0.0887,0.06724666
0.000145,0.08934666,0.06636
0.00015000000000000001,0.08872666,0.06636
0.000155,0.08945999,0.06727333
0.00016,0.08951332,0.06675333
0.00016500000000000003,0.08881333,0.06798
0.00017,0.08879999,0.06745999
0.00017500000000000003,0.08947333,0.06823999
0.00018,0.08941333,0.06828
0.00018500000000000002,0.08877333,0.06761333
0.00019,0.08938666,0.06828
0.00019500000000000002,0.08868666,0.06758666
0.0002,0.08932,0.06811333
0.00020500000000000002,0.08859333,0.06732666
0.00021,0.08919999,0.06800666
0.00021500000000000002,0.08855332,0.06713333
0.00022,0.08848666,0.06770666
0.00022500000000000002,0.08918666,0.06663333
0.00023,0.08914666,0.06711999
0.00023500000000000002,0.08848666,0.06621333
0.00024000000000000003,0.08913333,0.06622666
0.00024500000000000005,0.08847333,0.06688
0.00025,0.08910666,0.06625333
0.000255,0.08844666,0.06695999
0.00026000000000000003,0.08839333,0.06636
0.00026500000000000004,0.08904,0.06711999
0.00027,0.08906666,0.06649332
0.000275,0.08839333,0.06745999
0.00028000000000000003,0.08842,0.06680666
0.00028500000000000004,0.08906666,0.06758666
0.00029,0.08845999,0.06769333
0.000295,0.08914666,0.06701333
0.00030000000000000003,0.08847333,0.06711999
0.00030500000000000004,0.08917332,0.06829333
0.00031,0.08921333,0.06830666
0.000315,0.08854,0.06706666
0.00032,0.08861999,0.0676
0.00032500000000000004,0.08922666,0.06675333
0.00033000000000000005,0.08860666,0.06745999
0.000335,0.08926666,0.0667
0.00034,0.08865999,0.06719333
0.00034500000000000004,0.08933333,0.06633333
0.00035000000000000005,0.08876,0.06624
0.000355,0.08944666,0.06716
0.00036,0.08879999,0.0667
0.00036500000000000004,0.08948666,0.06787333
0.00037000000000000005,0.08942666,0.06735333
0.000375,0.08882666,0.06812666
0.00038,0.08939999,0.0681
0.00038500000000000003,0.08873999,0.06742
0.00039000000000000005,0.08938666,0.06813999
0.000395,0.08872666,0.06743333
0.0004,0.08930666,0.06801999
0.00040500000000000003,0.08863333,0.06726
0.00041000000000000005,0.08922666,0.06787333
0.00041500000000000006,0.08852666,0.06711999
0.00042,0.08917332,0.06765333
0.00042500000000000003,0.08851333,0.06659333
0.00043000000000000004,0.08847333,0.06706666
0.00043500000000000006,0.08916,0.06608666
0.00044,0.08847333,0.06608666
0.00044500000000000003,0.08910666,0.06672666
0.00045000000000000004,0.08907999,0.06603333
0.00045500000000000006,0.08839333,0.0667
0.00046,0.08904,0.06605999
0.000465,0.08837999,0.06682
0.00047000000000000004,0.08839333,0.06625333
0.00047500000000000005,0.08907999,0.06706666
0.00048000000000000007,0.08905333,0.06654
0.000485,0.08839333,0.06738
0.0004900000000000001,0.08844666,0.06751999
0.000495,0.08909333,0.06685333
0.0005,0.08843333,0.06698667
0.000505,0.08916,0.06808666
0.00051,0.08918666,0.06811333
0.000515,0.08859333,0.06694666
0.0005200000000000001,0.08921333,0.06747333
0.0005250000000000001,0.08856666,0.06661999
0.0005300000000000001,0.08859333,0.06668666
0.000535,0.08927999,0.06736666
0.00054,0.08864666,0.06720666
0.000545,0.08929332,0.06631999
0.00055,0.08871333,0.06630667
0.000555,0.08939999,0.06720666
0.0005600000000000001,0.08942666,0.0667
0.0005650000000000001,0.08879999,0.06785999
0.0005700000000000001,0.08945999,0.06732666
0.0005750000000000001,0.08878666,0.06803333
0.00058,0.08939999,0.06808666
0.000585,0.08873999,0.06742
0.00059,0.08934666,0.06813999
0.000595,0.0887,0.06743333
0.0006000000000000001,0.08926666,0.06801999
0.0006050000000000001,0.08855332,0.06713333
0.0006100000000000001,0.08918666,0.06776
0.0006150000000000001,0.08851333,0.06697333
0.00062,0.08914666,0.06755999
