Time (s),CH2 (V),CH3 (V)
0.0,0.09747999,0.2035
1e-05,0.09719332,0.20086
2e-05,0.09781332,0.2010933
3.0000000000000004e-05,0.09705999,0.2030533
4e-05,0.09775999,0.20168
5e-05,0.09701999,0.2062933
6.000000000000001e-05,0.09777333,0.2058666
7.000000000000001e-05,0.09700666,0.20768
8e-05,0.09701999,0.20632
9e-05,0.09774666,0.2035
0.0001,0.09705999,0.2035266
0.00011,0.09774666,0.2057333
0.00012000000000000002,0.09771999,0.2058533
0.00013000000000000002,0.09695332,0.2043467
0.00014000000000000001,0.09754666,0.20418
0.00015000000000000001,0.09657332,0.20504
0.00016,0.09715333,0.2050667
0.00017,0.09627999,0.2041667
0.00018,0.09695332,0.2045733
0.00019,0.09609333,0.2005067
0.0002,0.09680666,0.2008467
0.00021,0.09606666,0.19814
0.00022,0.09671333,0.19844
0.00023,0.09598,0.20044
0.00024000000000000003,0.09611999,0.1990533
0.00025,0.09685999,0.20388
0.00026000000000000003,0.09626666,0.2035133
0.00027,0.09704666,0.2052867
0.00028000000000000003,0.09634666,0.2040733
0.00029,0.09709999,0.2015
0.00030000000000000003,0.09646666,0.2015
0.00031,0.09722,0.2039666
0.00032,0.09722,0.2040733
0.00033000000000000005,0.09650666,0.2025467
0.00034,0.09716666,0.2023733
0.00035000000000000005,0.09623999,0.20354
0.00036,0.09685999,0.2037067
0.00037000000000000005,0.09593999,0.2029333
0.00038,0.09658666,0.20334
0.00039000000000000005,0.09579333,0.19942
0.0004,0.09647999,0.1998
0.00041000000000000005,0.09573999,0.1971733
0.00042,0.09641333,0.1975133
0.00043000000000000004,0.0957,0.1995267
0.00044,0.09568666,0.1981933
0.00045000000000000004,0.09647999,0.2035133
0.00046,0.09581999,0.20308
0.00047000000000000004,0.09662666,0.2049
0.00048000000000000007,0.09593999,0.2036933
0.0004900000000000001,0.09665333,0.20134
0.0005,0.09595332,0.2014067
0.00051,0.09679332,0.2039666
0.0005200000000000001,0.09680666,0.20414
0.0005300000000000001,0.09614666,0.2027266
0.00054,0.09677999,0.2025333
0.00055,0.09593999,0.2040467
0.0005600000000000001,0.09653333,0.2042467
0.0005700000000000001,0.09577999,0.20342
0.00058,0.09646666,0.2038533
0.00059,0.09573999,0.20006
0.0006000000000000001,0.09641333,0.2004267
0.0006100000000000001,0.09568666,0.1977867
0.00062,0.09641333,0.1981267
0.00063,0.0957,0.20022
0.00064,0.09573999,0.1989133
0.0006500000000000001,0.09651999,0.20398
0.0006600000000000001,0.09585999,0.2051066
0.00067,0.09669999,0.2031733
0.00068,0.09599999,0.2036266
0.0006900000000000001,0.09679332,0.20124
0.0007000000000000001,0.09614666,0.2013666
0.00071,0.09694,0.2038133
0.00072,0.09689999,0.2039933
0.0007300000000000001,0.09622666,0.2028067
0.0007400000000000001,0.09679332,0.2027533
0.00075,0.09588666,0.2039067
0.00076,0.09649333,0.20402
0.0007700000000000001,0.09560666,0.2031866
0.0007800000000000001,0.09626666,0.2036266
0.00079,0.09552666,0.2000467
0.0008,0.09610666,0.2004133
0.0008100000000000001,0.09527999,0.197
0.0008200000000000001,0.09596666,0.1991333
0.0008300000000000001,0.09517333,0.19708
0.00084,0.09529333,0.19724
0.0008500000000000001,0.09611999,0.2012533
0.0008600000000000001,0.09547333,0.2019533
0.0008700000000000001,0.09623999,0.1995666
0.00088,0.09558,0.2000333
0.0008900000000000001,0.09633332,0.1975
0.0009000000000000001,0.09563333,0.1975933
0.0009100000000000001,0.09643999,0.1997866
0.00092,0.09579333,0.1989267
0.00093,0.09653333,0.2000066
0.0009400000000000001,0.09654666,0.1995267
0.0009500000000000001,0.09579333,0.20184
0.0009600000000000001,0.09645332,0.20138
0.00097,0.09568666,0.203
0.0009800000000000002,0.09632,0.2030933
0.00099,0.09561999,0.2007933
0.001,0.09622666,0.2011466
0.00101,0.09551333,0.19946
0.00102,0.09621333,0.1999667
0.00103,0.09544666,0.2021933
0.0010400000000000001,0.09548666,0.2013133
0.0010500000000000002,0.09633332,0.2060333
0.0010600000000000002,0.09567333,0.20696
0.00107,0.09647999,0.2050667
0.00108,0.09583332,0.2054733
0.00109,0.09661333,0.2038933
0.0011,0.09598,0.2041267
0.00111,0.09683333,0.2068467
0.0011200000000000001,0.09622666,0.20696
0.0011300000000000001,0.09704666,0.20606
0.0011400000000000002,0.09705999,0.2058933
0.0011500000000000002,0.09634666,0.2072266
0.00116,0.09697999,0.2067267
0.00117,0.09627999,0.20802
0.00118,0.09634666,0.2080466
0.00119,0.09708666,0.2058267
0.0012000000000000001,0.09647999,0.2061933
0.0012100000000000001,0.09722,0.20414
0.0012200000000000002,0.09654666,0.2047133
0.0012300000000000002,0.09738666,0.2067933
0.00124,0.09673999,0.2054867
0.00125,0.09771999,0.2101933
0.00126,0.09717999,0.2098133
0.00127,0.09835333,0.2121133
0.00128,0.09768,0.2114333
0.0012900000000000001,0.09865999,0.2101933
0.0013000000000000002,0.09811333,0.2104533
0.0013100000000000002,0.09897333,0.21322
0.0013200000000000002,0.09835333,0.2134067
0.00133,0.0992,0.21266
0.00134,0.09917333,0.2125933
0.00135,0.09833999,0.2144267
0.00136,0.09905332,0.2139133
0.0013700000000000001,0.09828666,0.2150133
0.0013800000000000002,0.09825999,0.2150133
0.0013900000000000002,0.09906666,0.2126466
0.0014000000000000002,0.09899999,0.2130533
0.00141,0.09828666,0.2099133
0.00142,0.09892,0.21206
0.00143,0.09821999,0.20972
0.00144,0.09827333,0.2098533
0.0014500000000000001,0.09903999,0.21326
0.0014600000000000001,0.09841999,0.2136933
0.0014700000000000002,0.09917333,0.21074
0.0014800000000000002,0.09848666,0.2111333
0.0014900000000000002,0.09923999,0.20908
0.0015,0.09852666,0.2092133
0.00151,0.09927999,0.2112467
0.00152,0.09929333,0.211
0.0015300000000000001,0.09860666,0.2100333
0.0015400000000000001,0.09925333,0.2104267
0.0015500000000000002,0.09843332,0.2125067
0.0015600000000000002,0.09902666,0.2120067
0.0015700000000000002,0.09825999,0.21312
0.00158,0.09894666,0.21326
0.00159,0.09823333,0.2116133
0.0016,0.09818,0.2120467
0.00161,0.09890666,0.2102067
0.0016200000000000001,0.09821999,0.2108933
0.0016300000000000002,0.09890666,0.21308
0.0016400000000000002,0.09833999,0.2120333
0.0016500000000000002,0.09937333,0.2157066
0.0016600000000000002,0.09867333,0.2162
0.00167,0.09965999,0.2139
0.00168,0.09905332,0.2143867
0.00169,0.09989999,0.2134466
0.0017000000000000001,0.09931999,0.2137733
0.0017100000000000001,0.1002,0.21624
0.0017200000000000002,0.09951333,0.21628
0.0017300000000000002,0.1002133,0.2155267
0.0017400000000000002,0.1001133,0.2156267
0.00175,0.09923999,0.21658
0.00176,0.09984666,0.2166467
0.00177,0.09903999,0.21576
0.0017800000000000001,0.0997,0.2165933
0.0017900000000000001,0.09889333,0.2149333
0.0018000000000000002,0.09955332,0.2153133
0.0018100000000000002,0.09877332,0.2132467
0.0018200000000000002,0.0988,0.21576
0.0018300000000000002,0.09956666,0.21266
0.00184,0.09887999,0.2130267
0.00185,0.09973999,0.21138
0.00186,0.09915999,0.2119133
0.0018700000000000001,0.09995332,0.2066467
0.0018800000000000002,0.09938666,0.2070667
0.0018900000000000002,0.1001467,0.2038
0.0019000000000000002,0.09947333,0.20452
0.0019100000000000002,0.1002533,0.2035
0.0019200000000000003,0.10032,0.2039067
0.00193,0.09961999,0.2014467
0.00194,0.10028,0.2018933
0.0019500000000000001,0.09948666,0.2002333
0.0019600000000000004,0.1000467,0.2007667
0.00197,0.09929333,0.1993266
0.00198,0.09927999,0.19998
0.00199,0.1001733,0.19792
0.002,0.09952666,0.1984266
0.00201,0.1002667,0.1960067
0.00202,0.09965999,0.1983733
0.00203,0.1004533,0.1960467
0.00204,0.09976666,0.1961533
0.00205,0.1006267,0.1989267
0.00206,0.1000333,0.1992867
0.0020700000000000002,0.1009267,0.19696
0.0020800000000000003,0.10024,0.1973933
0.0020900000000000003,0.1010067,0.1964533
0.0021000000000000003,0.1004,0.1965733
0.0021100000000000003,0.1011267,0.19844
0.0021200000000000004,0.1011533,0.1981267
0.0021300000000000004,0.1003867,0.1966333
0.00214,0.10098,0.19708
0.00215,0.1000867,0.19606
