Time (s),CH1 (V)
0.0,5.059333
1e-06,-5.053333
2e-06,-4.897333
3e-06,-5.108666
4e-06,-4.875333
4.9999999999999996e-06,-5.12
6e-06,-4.919333
7e-06,-5.142
8e-06,-4.842
9e-06,-5.108666
9.999999999999999e-06,-4.930666
1.1e-05,-5.142
1.2e-05,-5.108666
1.3e-05,-4.919333
1.4e-05,-5.108666
1.4999999999999999e-05,-4.986
1.6e-05,-4.942
1.7e-05,-5.108666
1.8e-05,-4.897333
1.8999999999999998e-05,-5.164
1.9999999999999998e-05,-5.12
2.1e-05,-4.875333
2.2e-05,-4.897333
2.3e-05,-5.086667
2.4e-05,-5.108666
2.4999999999999998e-05,-4.886
2.6e-05,-4.919333
2.7e-05,-5.086667
2.8e-05,-4.875333
2.9e-05,-5.053333
2.9999999999999997e-05,-5.108666
3.1e-05,-4.864
3.2e-05,-4.819333
3.2999999999999996e-05,-5.086667
3.4e-05,-5.12
3.5e-05,-4.842
3.6e-05,-5.053333
3.7e-05,-4.875333
3.7999999999999995e-05,-5.108666
3.9e-05,-4.842
3.9999999999999996e-05,-5.053333
4.1e-05,-4.886
4.2e-05,-4.864
4.2999999999999995e-05,-5.053333
4.4e-05,-5.075333
4.4999999999999996e-05,-4.886
4.6e-05,-4.886
4.7e-05,-5.075333
4.8e-05,-5.12
4.9e-05,-4.908667
4.9999999999999996e-05,-4.886
5.1e-05,-5.075333
5.2e-05,-5.064
5.3e-05,-4.886
5.4e-05,-4.842
5.4999999999999995e-05,-5.086667
5.6e-05,-5.086667
5.6999999999999996e-05,-4.886
5.8e-05,-4.830667
5.9e-05,-5.053333
5.9999999999999995e-05,-4.830667
6.1e-05,-5.064
6.2e-05,-4.842
6.3e-05,-5.097333
6.4e-05,-5.064
6.5e-05,-4.886
6.599999999999999e-05,-4.830667
6.7e-05,-5.153333
6.8e-05,-5.153333
6.9e-05,-4.908667
7e-05,-4.964
7.099999999999999e-05,-5.12
7.2e-05,-5.108666
7.3e-05,-4.864
7.4e-05,-4.864
7.5e-05,-5.108666
7.599999999999999e-05,-4.808
7.7e-05,-5.053333
7.8e-05,-4.808
7.9e-05,-5.064
7.999999999999999e-05,-5.164
8.099999999999999e-05,-4.830667
8.2e-05,-4.842
8.3e-05,-5.053333
8.4e-05,-4.842
8.499999999999999e-05,-5.142
8.599999999999999e-05,-5.086667
8.7e-05,-4.864
8.8e-05,-4.886
8.9e-05,-5.175333
8.999999999999999e-05,-4.864
9.099999999999999e-05,-5.075333
9.2e-05,-5.108666
9.3e-05,-4.842
9.4e-05,-4.842
9.499999999999999e-05,-5.053333
9.6e-05,-5.086667
9.7e-05,-4.808
9.8e-05,-4.842
9.9e-05,-5.097333
9.999999999999999e-05,-5.053333
0.000101,5.115333
0.000102,5.170667
0.000103,4.948
0.000104,4.959333
0.00010499999999999999,5.237333
0.000106,5.193333
0.000107,4.959333
0.000108,4.982
0.00010899999999999999,5.193333
0.00010999999999999999,4.992667
0.000111,5.226666
0.000112,5.16
0.000113,4.982
0.00011399999999999999,4.982
0.00011499999999999999,5.148666
0.000116,4.948
0.000117,5.226666
0.000118,4.948
0.00011899999999999999,5.193333
0.00011999999999999999,5.215333
0.000121,4.937333
0.000122,5.204
0.00012299999999999998,4.948
0.000124,4.892667
0.000125,5.170667
0.000126,5.237333
0.000127,4.904
0.000128,5.137333
0.000129,4.982
0.00013,5.137333
0.00013099999999999999,4.948
0.00013199999999999998,5.126
0.000133,4.926
0.000134,5.115333
0.000135,4.926
0.000136,4.870667
0.000137,5.137333
0.000138,4.948
0.000139,5.148666
0.00014,4.948
0.00014099999999999998,5.148666
0.00014199999999999998,5.16
0.000143,4.892667
0.000144,4.982
0.000145,5.204
0.000146,4.904
0.000147,5.170667
0.000148,4.892667
0.000149,5.148666
0.00015,5.16
0.00015099999999999998,4.859334
0.00015199999999999998,5.126
0.000153,4.892667
0.000154,4.959333
0.000155,5.170667
0.000156,4.992667
0.000157,5.126
0.000158,5.148666
0.000159,4.904
0.00015999999999999999,4.892667
0.00016099999999999998,5.126
0.00016199999999999998,5.126
0.000163,4.948
0.000164,4.904
0.000165,5.137333
0.000166,4.926
0.000167,5.148666
0.000168,4.848
0.000169,5.170667
0.00016999999999999999,5.204
0.00017099999999999998,4.937333
0.00017199999999999998,5.115333
0.000173,4.904
0.000174,4.904
0.000175,5.215333
0.000176,4.970666
0.000177,5.193333
0.000178,4.904
0.000179,5.092667
0.00017999999999999998,4.926
0.00018099999999999998,5.126
0.00018199999999999998,5.115333
0.000183,4.970666
0.000184,4.948
0.000185,5.170667
0.000186,5.170667
0.000187,4.892667
0.000188,4.948
0.00018899999999999999,5.148666
0.00018999999999999998,5.148666
0.00019099999999999998,4.926
0.000192,4.959333
0.000193,5.148666
0.000194,4.970666
0.000195,5.226666
0.000196,4.982
0.000197,5.126
0.000198,5.16
0.00019899999999999999,4.959333
0.00019999999999999998,5.148666
0.00020099999999999998,-5.008667
0.000202,-4.864
0.000203,-5.097333
0.000204,-4.952667
0.000205,-5.130667
0.000206,-5.142
0.000207,-4.919333
0.000208,-5.164
0.00020899999999999998,-4.919333
0.00020999999999999998,-4.952667
0.00021099999999999998,-5.175333
0.000212,-5.153333
0.000213,-4.975333
0.000214,-5.198
0.000215,-4.952667
0.000216,-4.952667
0.000217,-5.12
0.00021799999999999999,-4.942
0.00021899999999999998,-5.142
0.00021999999999999998,-4.842
